Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
917,58015	473	33X	515727,049	8556558,299	301,6576	3965	333,06	-31,4024
920,78741	474	33X	515724,169	8556556,888	301,6924	3962,5	332,85	-31,1576
923,99484	475	33X	515721,27	8556555,516	301,7244	3960	332,64	-30,9156
927,2012	476	33X	515718,354	8556554,183	301,753	3960	332,64	-30,887
930,40138	477	33X	515715,425	8556552,894	301,7777	3957,5	332,43	-30,6523
933,59157	478	33X	515712,487	8556551,651	301,7981	3955	332,22	-30,4219
936,76983	479	33X	515709,542	8556550,456	301,8136	3955	332,22	-30,4064
939,9311	480	33X	515706,595	8556549,312	301,8237	3952,5	332,01	-30,1863
943,07392	481	33X	515703,648	8556548,22	301,8279	3950	331,8	-29,9721
946,19361	482	33X	515700,705	8556547,185	301,8257	3950	331,8	-29,9743
949,28696	483	33X	515697,77	8556546,208	301,8165	3952,5	332,01	-30,1935
952,35268	484	33X	515694,845	8556545,29	301,8	3955	332,22	-30,42
955,39041	485	33X	515691,934	8556544,422	301,7779	3957,5	332,43	-30,6521
958,42528	486	33X	515689,032	8556543,534	301,7614	3960	332,64	-30,8786
961,48772	487	33X	515686,134	8556542,544	301,7643	3962,5	332,85	-31,0857
964,61301	488	33X	515683,237	8556541,372	301,8	3965	333,06	-31,26
967,83548	489	33X	515680,336	8556539,971	301,8753	3967,5	333,27	-31,3947
971,10786	490	33X	515677,438	8556538,454	301,969	3970	333,48	-31,511
974,35859	491	33X	515674,547	8556536,97	302,0533	3972,5	333,69	-31,6367
977,51501	492	33X	515671,672	8556535,668	302,1	3975	333,9	-31,8
980,54716	493	33X	515668,818	8556534,644	302,0914	3977,5	334,11	-32,0186
983,49884	494	33X	515665,995	8556533,783	302,05	3980	334,32	-32,27
986,41208	495	33X	515663,215	8556532,913	302,0086	3982,5	334,53	-32,5214
989,33505	496	33X	515660,486	8556531,866	302	3987,5	334,95	-32,95
992,32146	497	33X	515657,816	8556530,529	302,0468	3990	335,16	-33,1132
995,33797	498	33X	515655,206	8556529,019	302,1311	3992,5	335,37	-33,2389
998,30851	499	33X	515652,649	8556527,51	302,2249	3995	335,58	-33,3551
1001,1489	500	33X	515650,143	8556526,175	302,3	3997,5	335,79	-33,49
1003,8261	501	33X	515647,678	8556525,131	302,3355	4005	336,42	-34,0845
1006,4284	502	33X	515645,224	8556524,265	302,3382	4012,5	337,05	-34,7118
1009,0527	503	33X	515642,744	8556523,407	302,3217	4022,5	337,89	-35,5683
1011,7903	504	33X	515640,204	8556522,386	302,3	4030	338,52	-36,22
1014,7192	505	33X	515637,579	8556521,087	302,2846	4037,5	339,15	-36,8654
1017,7891	506	33X	515634,89	8556519,606	302,2787	4047,5	339,99	-37,7113
1020,9004	507	33X	515632,173	8556518,09	302,2835	4055	340,62	-38,3365
1023,9507	508	33X	515629,462	8556516,692	302,3	4062,5	341,25	-38,95
1026,8778	509	33X	515626,779	8556515,522	302,3292	4072,5	342,09	-39,7608
1029,727	510	33X	515624,107	8556514,534	302,3718	4080	342,72	-40,3482
