Dist	TrNo	X,m	Y,m	Z,m	TD, ns	Hice	Amplitud de la señal	Bed,m
980,8	0	512176,6707	8551366,331	412,499243	792,636358	65,7888	0	346,710443
984,8	0	512174,9582	8551362,717	412,523235	797,556813	66,1972	0	346,326035
988	0	512173,5851	8551359,827	412,533702	804,937495	66,8098	0	345,723902
992	0	512171,8941	8551356,202	412,520462	812,318176	67,4224	0	345,098062
994,4	0	512170,8357	8551354,048	412,512414	819,698858	68,035	0	344,477414
997,6	0	512169,4359	8551351,171	412,532688	817,238631	67,8308	0	344,701888
1000,8	0	512168,0916	8551348,268	412,572356	814,778404	67,6266	0	344,945756
1004,8	0	512166,4246	8551344,632	412,613927	812,318176	67,4224	0	345,191527
1008,8	0	512164,6563	8551341,047	412,533393	814,778404	67,6266	0	344,906793
1012	0	512163,3266	8551338,136	412,57168	822,159085	68,2392	0	344,33248
1014,4	0	512162,3494	8551335,945	412,595905	824,619313	68,4434	0	344,152505
1018,4	0	512160,6602	8551332,321	412,605196	827,07954	68,6476	0	343,957596
1022,4	0	512158,9561	8551328,703	412,572656	834,460222	69,2602	0	343,312456
1024,8	0	512157,9306	8551326,533	412,558483	834,460222	69,2602	0	343,298283
1028,8	0	512156,2556	8551322,901	412,537252	839,011368	69,6379	0	342,899352
1032,8	0	512154,5855	8551319,267	412,525868	836,159095	69,4012	0	343,124668
1034,4	0	512153,8926	8551317,825	412,514984	821,897732	68,2175	0	344,297484
1037,6	0	512152,5264	8551314,932	412,473765	836,159095	69,4012	0	343,072565
1038,4	0	512152,1842	8551314,209	412,458434	836,159095	69,4012	0	343,057234
1041,6	0	512150,8358	8551311,307	412,442006	844,715914	70,1114	0	342,330606
1044,8	0	512149,4556	8551308,421	412,430987	847,568186	70,3482	0	342,082787
1046,4	0	512148,7736	8551306,974	412,429788	850,420459	70,5849	0	341,844888
1049,6	0	512147,4204	8551304,074	412,449432	858,977277	71,2951	0	341,154332
1053,6	0	512145,7395	8551300,445	412,430453	867,534096	72,0053	0	340,425153
1056	0	512144,7037	8551298,28	412,423429	870,386368	72,2421	0	340,181329
1059,2	0	512143,2972	8551295,406	412,408341	876,090914	72,7155	0	339,692841
1061,6	0	512142,2577	8551293,243	412,400644	878,943187	72,9523	0	339,448344
1068	0	512139,6144	8551287,415	412,429794	890,352278	73,8992	0	338,530594
1069,6	0	512138,9215	8551285,975	412,370078	896,056823	74,3727	0	337,997378
1073,6	0	512137,2123	8551282,36	412,347218	893,20455	74,136	0	338,211218
1076,8	0	512135,8917	8551279,446	412,36682	907,465914	75,3197	0	337,04712
1078,4	0	512135,1831	8551278,011	412,359277	913,17046	75,7931	0	336,566177
1083,2	0	512133,0715	8551273,701	412,360312	921,727278	76,5034	0	335,856912
1086,4	0	512131,7104	8551270,806	412,303175	921,727278	76,5034	0	335,799775
1091,2	0	512129,7325	8551266,433	412,287892	933,136369	77,4503	0	334,837592
1096	0	512127,7157	8551262,078	412,268635	927,431823	76,9768	0	335,291835
1100,8	0	512125,5786	8551257,782	412,212159	938,840914	77,9238	0	334,288359
1104	0	512124,1684	8551254,91	412,164991	944,54546	78,3973	0	333,767691
1111,2	0	512120,9927	8551248,449	412,089	950,250005	78,8707	0	333,2183
1117,6	0	512118,1	8551242,742	412,12796	953,102278	79,1075	0	333,02046
1122,4	0	512115,9744	8551238,439	412,127347	953,102278	79,1075	0	333,019847
1124,8	0	512114,9205	8551236,283	412,113526	955,954551	79,3442	0	332,769326
1131,2	0	512112,1648	8551230,507	412,116557	953,102278	79,1075	0	333,009057
1137,6	0	512109,3533	8551224,759	412,136094	947,397732	78,634	0	333,502094
1143,2	0	512106,9851	8551219,685	412,153451	944,54546	78,3973	0	333,756151
1148	0	512104,9511	8551215,338	412,131793	944,54546	78,3973	0	333,734493
1155,2	0	512101,9301	8551208,9	412,107405	944,54546	78,3973	0	333,710105
1156,8	0	512101,3389	8551207,474	411,689275	947,397732	78,634	0	333,055275
1161,6	0	512099,4013	8551203,45	411,641472	950,250005	78,8707	0	332,770772
1164,8	0	512097,9583	8551200,646	411,920384	953,102278	79,1075	0	332,812884
1169,6	0	512096,0763	8551196,394	411,6111	950,250005	78,8707	0	332,7404
1172,8	0	512094,7804	8551193,781	411,750057	950,250005	78,8707	0	332,879357
1177,6	0	512092,6439	8551189,596	411,947889	958,806823	79,581	0	332,366889
1180	0	512091,7151	8551187,53	411,710139	961,659096	79,8177	0	331,892439
1186,4	0	512089,0809	8551181,816	411,682531	967,363642	80,2912	0	331,391331
1192,8	0	512086,3315	8551176,414	411,92515	967,363642	80,2912	0	331,63395
1196,8	0	512084,6269	8551172,796	411,901505	964,511369	80,0544	0	331,847105
1204,8	0	512081,1798	8551165,581	411,806813	961,659096	79,8177	0	331,989113
1208	0	512079,8547	8551162,67	411,843503	961,659096	79,8177	0	332,025803
1213,6	0	512077,4447	8551157,616	411,771299	967,363642	80,2912	0	331,480099
1220	0	512074,7581	8551151,809	411,772583	975,92046	81,0014	0	330,771183
1225,6	0	512072,4343	8551146,715	411,82682	987,329551	81,9483	0	329,87852
1228,8	0	512071,1016	8551143,806	411,798455	990,181824	82,1851	0	329,613355
1238,4	0	512066,9589	8551135,149	411,658095	998,738642	82,8953	0	328,762795
1247,2	0	512063,2008	8551127,193	411,581281	1010,147733	83,8423	0	327,738981
1253,6	0	512060,5241	8551121,383	411,515634	1018,704551	84,5525	0	326,963134
1257,6	0	512058,8253	8551117,765	411,469976	1021,556824	84,7892	0	326,680776
1263,2	0	512056,542	8551112,653	411,390314	1032,965915	85,7362	0	325,654114
1266,4	0	512055,2303	8551109,735	411,366827	1030,113642	85,4994	0	325,867427
1275,2	0	512051,4593	8551101,79	411,217428	1035,818188	85,9729	0	325,244528
1278,4	0	512050,1431	8551098,874	411,190502	1035,818188	85,9729	0	325,217602
1281,6	0	512048,7922	8551095,974	411,14644	1038,67046	86,2096	0	324,93684
1284	0	512047,7377	8551093,818	411,106481	1041,522733	86,4464	0	324,660081
1288	0	512045,9805	8551090,226	411,044949	1032,965915	85,7362	0	325,308749
1292	0	512044,6791	8551087,09	412,156991	1018,704551	84,5525	0	327,604491
1295,2	0	512043,3218	8551084,2	412,189564	1013,000006	84,079	0	328,110564
1304,8	0	512040,1376	8551077,449	411,562664	1004,443187	83,3688	0	328,193864
1308	0	512039,2239	8551075,242	412,155707	1004,443187	83,3688	0	328,786907
1312,8	0	512037,5996	8551071,728	411,921207	1010,147733	83,8423	0	328,078907
1316	0	512036,6622	8551069,511	412,244366	1004,443187	83,3688	0	328,875566
1320	0	512035,107	8551066,188	412,068652	1001,590915	83,132	0	328,936652
1324,8	0	512033,6141	8551062,879	412,234868	995,886369	82,6586	0	329,576268
1330,4	0	512031,3801	8551058,039	412,197211	990,181824	82,1851	0	330,012111
1338,4	0	512028,238	8551051,508	412,122052	984,477278	81,7116	0	330,410452
1340,8	0	512027,2233	8551049,412	412,208383	984,477278	81,7116	0	330,496783
1344	0	512025,8094	8551046,542	412,168875	981,625005	81,4749	0	330,693975
1350,4	0	512023,0705	8551040,759	412,223419	975,92046	81,0014	0	331,222019
1353,6	0	512021,7093	8551037,865	412,271333	973,068187	80,7647	0	331,506633
1360	0	512018,9622	8551032,086	412,317999	973,068187	80,7647	0	331,553299
1364,8	0	512016,9984	8551027,706	412,349415	970,215914	80,5279	0	331,821515
1371,2	0	512014,2991	8551021,905	412,39305	970,215914	80,5279	0	331,86515
1378,4	0	512011,2032	8551015,408	412,380636	970,215914	80,5279	0	331,852736
1381,6	0	512009,8864	8551012,495	412,459497	961,659096	79,8177	0	332,641797
1390,4	0	512006,2542	8551004,488	412,717457	955,954551	79,3442	0	333,373257
1393,6	0	512004,9334	8551001,576	412,736863	947,397732	78,634	0	334,102863
1401,6	0	512001,6921	8550994,27	413,004337	933,136369	77,4503	0	335,554037
