Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
29650,164	6904	33X	514203,6377	8560243,602	326,4411	3550	298,2	28,2411
29654,576	6905	33X	514200,7166	8560246,908	326,4359	3555	298,62	27,8159
29659,354	6906	33X	514197,5774	8560250,51	326,4384	3555	298,62	27,8184
29664,655	6907	33X	514194,1173	8560254,526	326,4493	3560	299,04	27,4093
29670,351	6908	33X	514190,4229	8560258,861	327,2155	3560	299,04	28,1755
29676,245	6909	33X	514186,628	8560263,371	327,2332	3565	299,46	27,7732
29682,14	6910	33X	514182,8665	8560267,91	327,2482	3565	299,46	27,7882
29687,886	6911	33X	514179,2435	8560272,369	327,2597	3570	299,88	27,3797
29693,521	6912	33X	514175,7487	8560276,79	327,2785	3570	299,88	27,3985
29699,132	6913	33X	514172,3431	8560281,249	326,5682	3575	300,3	26,2682
29704,805	6914	33X	514168,9876	8560285,823	326,6428	3575	300,3	26,3428
29710,584	6915	33X	514165,6653	8560290,55	326,7615	3580	300,72	26,0415
29716,331	6916	33X	514162,4479	8560295,31	326,9155	3580	300,72	26,1955
29721,862	6917	33X	514159,4292	8560299,941	327,0917	3585	301,14	25,9517
29726,992	6918	33X	514156,7029	8560304,283	327,2768	3585	301,14	26,1368
29731,604	6919	33X	514154,3318	8560308,234	327,4599	3590	301,56	25,8999
29735,848	6920	33X	514152,2543	8560311,93	327,6391	3590	301,56	26,0791
29739,94	6921	33X	514150,3776	8560315,563	327,8146	3595	301,98	25,8346
29744,102	6922	33X	514148,609	8560319,326	327,9869	3595	301,98	26,0069
29748,554	6923	33X	514146,8558	8560323,415	327,4062	3600	302,4	25,0062
29753,449	6924	33X	514145,0564	8560327,964	327,5716	3600	302,4	25,1716
29758,683	6925	33X	514143,2737	8560332,882	327,7271	3600	302,4	25,3271
29764,089	6926	33X	514141,6014	8560338,022	327,8653	3600	302,4	25,4653
29769,506	6927	33X	514140,1337	8560343,234	327,229	3605	302,82	24,409
29774,807	6928	33X	514138,9442	8560348,4	327,3112	3605	302,82	24,4912
29780,005	6929	33X	514138,026	8560353,516	327,3564	3605	302,82	24,5364
29785,141	6930	33X	514137,352	8560358,608	327,3593	3605	302,82	24,5393
29790,255	6931	33X	514136,895	8560363,701	327,3146	3605	302,82	24,4946
29795,382	6932	33X	514136,6348	8560368,821	327,9681	3610	303,24	24,7281
29800,559	6933	33X	514136,5782	8560373,995	327,8189	3610	303,24	24,5789
29805,82	6934	33X	514136,7389	8560379,249	327,617	3610	303,24	24,377
29811,203	6935	33X	514137,1306	8560384,612	327,3624	3610	303,24	24,1224
29816,712	6936	33X	514137,754	8560390,077	327,0587	3605	302,82	24,2387
29822,212	6937	33X	514138,558	8560395,508	327,4744	3605	302,82	24,6544
29827,531	6938	33X	514139,4789	8560400,736	327,1316	3605	302,82	24,3116
29832,495	6939	33X	514140,4528	8560405,592	326,8024	3605	302,82	23,9824
29836,99	6940	33X	514141,4337	8560409,968	327,2547	3605	302,82	24,4347
29841,158	6941	33X	514142,4477	8560414,002	326,9906	3605	302,82	24,1706
29845,204	6942	33X	514143,5388	8560417,892	326,7578	3600	302,4	24,3578
29849,335	6943	33X	514144,7511	8560421,836	325,8042	3600	302,4	23,4042
29853,755	6944	33X	514146,1287	8560426,032	326,3777	3600	302,4	23,9777
29858,604	6945	33X	514147,6971	8560430,617	326,2273	3600	302,4	23,8273
29863,763	6946	33X	514149,4082	8560435,483	326,1069	3600	302,4	23,7069
29869,049	6947	33X	514151,1956	8560440,457	326,0217	3600	302,4	23,6217
29874,281	6948	33X	514152,9925	8560445,37	326,7268	3595	301,98	24,7468
29879,323	6949	33X	514154,7461	8560450,098	326,725	3595	301,98	24,745
29884,232	6950	33X	514156,458	8560454,699	326,7595	3595	301,98	24,7795
29889,113	6951	33X	514158,1432	8560459,279	326,8214	3595	301,98	24,8414
29894,071	6952	33X	514159,8169	8560463,945	326,9015	3595	301,98	24,9215
29899,165	6953	33X	514161,4844	8560468,757	326,992	3595	301,98	25,012
29904,278	6954	33X	514163,1119	8560473,604	327,0899	3595	301,98	25,1099
29909,248	6955	33X	514164,6556	8560478,327	327,1934	3595	301,98	25,2134
29913,911	6956	33X	514166,0717	8560482,769	328,0507	3595	301,98	26,0707
29918,168	6957	33X	514167,3355	8560486,831	327,409	3600	302,4	25,009
29922,167	6958	33X	514168,4975	8560490,657	328,26	3600	302,4	25,86
29926,12	6959	33X	514169,6274	8560494,444	327,5946	3600	302,4	25,1946
29930,241	6960	33X	514170,7947	8560498,396	327,6534	3600	302,4	25,2534
29934,74	6961	33X	514172,0689	8560502,711	327,6773	3600	302,4	25,2773
29939,769	6962	33X	514173,5021	8560507,531	327,6589	3605	302,82	24,8389
29945,23	6963	33X	514175,0766	8560512,759	327,5996	3605	302,82	24,7796
29950,963	6964	33X	514176,757	8560518,24	327,5027	3605	302,82	24,6827
29956,81	6965	33X	514178,5081	8560523,817	327,3715	3605	302,82	24,5515
29962,641	6966	33X	514180,3024	8560529,363	327,9587	3610	303,24	24,7187
29968,453	6967	33X	514182,1439	8560534,871	327,7644	3610	303,24	24,5244
29974,27	6968	33X	514184,0443	8560540,365	327,5383	3610	303,24	24,2983
29980,12	6969	33X	514186,0154	8560545,866	327,2798	3610	303,24	24,0398
29986,029	6970	33X	514188,071	8560551,399	326,9892	3610	303,24	23,7492
29992,032	6971	33X	514190,2336	8560556,99	326,6691	3605	302,82	23,8491
29998,165	6972	33X	514192,5276	8560562,667	326,3228	3605	302,82	23,5028
30004,463	6973	33X	514194,9775	8560568,457	325,9535	3605	302,82	23,1335
30010,923	6974	33X	514197,5867	8560574,354	325,5659	3605	302,82	22,7459
30017,38	6975	33X	514200,2744	8560580,212	325,9192	3605	302,82	23,0992
30023,628	6976	33X	514202,9386	8560585,85	325,5243	3605	302,82	22,7043
30029,461	6977	33X	514205,4772	8560591,087	325,1416	3605	302,82	22,3216
30034,747	6978	33X	514207,8229	8560595,811	324,7799	3605	302,82	21,9599
30039,658	6979	33X	514210,0463	8560600,175	325,1895	3595	301,98	23,2095
30044,438	6980	33X	514212,2526	8560604,404	324,869	3590	301,56	23,309
30049,335	6981	33X	514214,5469	8560608,72	324,5666	3580	300,72	23,8466
30054,595	6982	33X	514217,0346	8560613,345	324,281	3575	300,3	23,981
30060,385	6983	33X	514219,7846	8560618,433	324,0118	3565	299,46	24,5518
30066,564	6984	33X	514222,7211	8560623,864	323,7652	3555	298,62	25,1452
30072,912	6985	33X	514225,7323	8560629,448	323,5484	3550	298,2	25,3484
30079,209	6986	33X	514228,7063	8560634,996	323,3689	3540	297,36	26,0089
30085,292	6987	33X	514231,5555	8560640,368	323,2294	3535	296,94	26,2894
30091,215	6988	33X	514234,2894	8560645,622	323,1143	3525	296,1	27,0143
30097,091	6989	33X	514236,942	8560650,864	323,0031	3520	295,68	27,3231
30103,032	6990	33X	514239,5471	8560656,201	322,8754	3510	294,84	28,0354
30109,099	6991	33X	514242,1216	8560661,693	322,7162	3505	294,42	28,2962
30115,153	6992	33X	514244,6146	8560667,207	322,5312	3495	293,58	28,9512
30121,002	6993	33X	514246,9581	8560672,562	322,3314	3490	293,16	29,1714
30126,454	6994	33X	514249,0841	8560677,579	322,1276	3480	292,32	29,8076
30131,389	6995	33X	514250,9521	8560682,142	321,9276	3475	291,9	30,0276
30135,979	6996	33X	514252,6313	8560686,409	320,9758	3470	291,48	29,4958
30140,466	6997	33X	514254,2181	8560690,6	320,7635	3460	290,64	30,1235
30145,093	6998	33X	514255,8092	8560694,939	320,5319	3455	290,22	30,3119
30150,104	6999	33X	514257,5011	8560699,649	320,2722	3445	289,38	30,8922
30155,669	7000	33X	514259,3654	8560704,884	319,9778	3440	288,96	31,0178
30161,673	7001	33X	514261,374	8560710,532	319,6505	3435	288,54	31,1105
30167,929	7002	33X	514263,4736	8560716,414	319,2945	3425	287,7	31,5945
30174,25	7003	33X	514265,6111	8560722,351	318,9139	3420	287,28	31,6339
30180,487	7004	33X	514267,7457	8560728,198	318,513	3415	286,86	31,653
30186,637	7005	33X	514269,8861	8560733,949	318,0978	3410	286,44	31,6578
30192,735	7006	33X	514272,053	8560739,633	317,6749	3400	285,6	32,0749
